iter	Passed	Remaining
0	61	61531
1	61	30877
2	62	20660
3	62	15551
4	62	12486
5	63	10437
6	63	8976
7	63	7876
8	63	7022
9	64	6347
10	64	5788
11	64	5321
12	64	4932
13	65	4596
14	65	4302
15	65	4045
16	66	3823
17	66	3620
18	66	3439
19	66	3281
20	67	3136
21	67	3003
22	67	2885
23	68	2778
24	68	2678
25	68	2584
26	69	2496
27	69	2413
28	69	2337
29	70	2267
30	70	2202
31	70	2141
32	71	2084
33	71	2029
34	71	1981
35	72	1932
36	72	1886
37	72	1843
38	73	1803
39	73	1763
40	73	1726
41	74	1691
42	74	1655
43	74	1622
44	74	1590
45	75	1561
46	75	1533
47	75	1505
48	76	1478
49	76	1452
50	76	1427
51	77	1403
52	77	1380
53	77	1358
54	77	1336
55	78	1316
56	78	1296
57	78	1276
58	78	1257
59	79	1239
60	79	1221
61	79	1204
62	79	1188
63	80	1172
64	80	1156
65	80	1141
66	80	1127
67	81	1113
68	81	1098
69	81	1088
70	82	1075
71	82	1062
72	82	1051
73	83	1039
74	83	1028
75	83	1017
76	84	1008
77	84	999
78	85	991
79	85	982
80	85	973
81	86	965
82	86	954
83	86	945
84	86	936
85	87	931
86	88	926
87	88	920
88	90	921
89	90	915
90	91	909
91	91	903
92	91	897
93	92	888
94	92	881
95	92	873
96	93	866
97	93	858
98	93	851
99	93	843
100	93	836
101	94	829
102	94	823
103	94	817
104	95	811
105	95	805
106	95	799
107	96	793
108	96	788
109	96	782
110	97	777
111	97	772
112	97	766
113	98	761
114	98	757
115	98	753
116	99	748
117	99	744
118	100	740
119	100	736
120	100	733
121	101	728
122	101	725
123	102	721
124	102	717
125	102	714
126	103	709
127	103	706
128	104	702
129	104	697
130	104	693
131	104	689
132	105	685
133	105	680
134	105	676
135	105	672
136	106	668
137	106	664
138	106	660
139	106	657
140	107	653
141	107	649
142	107	645
143	107	641
144	108	638
145	108	634
146	108	631
147	109	627
148	109	624
149	109	621
150	109	617
151	110	614
152	110	611
153	110	607
154	110	604
155	111	601
156	111	598
157	111	596
158	112	593
159	112	590
160	112	587
161	113	584
162	113	581
163	113	579
164	113	576
165	114	573
166	114	571
167	114	568
168	115	566
169	115	563
170	115	561
171	116	559
172	116	558
173	117	556
174	117	555
175	118	553
176	118	551
177	118	548
178	119	546
179	119	543
180	119	541
181	119	538
182	120	536
183	120	533
184	120	531
185	120	529
186	121	527
187	121	524
188	121	522
189	122	520
190	122	517
191	122	515
192	122	513
193	123	511
194	123	509
195	123	507
196	123	504
197	124	502
198	124	500
199	124	498
200	124	496
201	125	494
202	125	493
203	125	491
204	126	490
205	126	488
206	126	486
207	127	484
208	127	483
209	127	481
210	128	479
211	128	477
212	128	475
213	129	474
214	129	472
215	129	470
216	129	469
217	130	467
218	130	465
219	130	463
220	131	462
221	131	461
222	131	459
223	132	458
224	132	457
225	133	456
226	133	454
227	134	453
228	134	452
229	134	450
230	134	449
231	135	447
232	135	446
233	135	444
234	136	442
235	136	441
236	136	439
237	136	438
238	137	436
239	137	435
240	137	433
241	138	432
242	138	430
243	138	429
244	138	427
245	139	426
246	139	425
247	139	423
248	140	422
249	140	421
250	140	420
251	141	419
252	141	418
253	142	417
254	142	416
255	142	414
256	143	413
257	143	412
258	143	411
259	144	409
260	144	408
261	144	407
262	145	406
263	145	405
264	145	404
265	146	403
266	146	402
267	147	402
268	147	401
269	147	400
270	148	398
271	148	397
272	148	396
273	149	394
274	149	393
275	149	392
276	149	391
277	150	389
278	150	388
279	150	387
280	150	386
281	151	384
282	151	383
283	151	382
284	152	381
285	152	380
286	152	379
287	152	378
288	153	377
289	153	375
290	153	374
291	154	373
292	154	372
293	154	371
294	154	370
295	155	369
296	155	368
297	156	367
298	156	367
299	157	366
300	157	365
301	157	364
302	158	363
303	158	362
304	158	361
305	159	360
306	159	359
307	159	358
308	159	357
309	160	356
310	160	355
311	161	355
312	161	354
313	161	353
314	162	352
315	162	351
316	162	351
317	163	350
318	163	349
319	163	348
320	164	347
321	164	346
322	164	345
323	164	344
324	165	343
325	165	342
326	165	341
327	166	340
328	166	339
329	166	338
330	166	337
331	167	336
332	167	335
333	167	334
334	167	333
335	168	332
336	168	331
337	168	330
338	168	329
339	169	328
340	169	327
341	169	326
342	170	325
343	170	325
344	170	324
345	171	323
346	171	322
347	171	322
348	172	321
349	172	320
350	172	319
351	173	318
352	173	317
353	173	316
354	174	316
355	174	315
356	174	314
357	175	314
358	175	313
359	175	312
360	176	311
361	176	311
362	176	310
363	177	309
364	177	308
365	177	307
366	177	306
367	178	305
368	178	304
369	178	304
370	178	303
371	179	302
372	179	301
373	179	300
374	179	299
375	180	299
376	180	298
377	180	297
378	181	296
379	181	295
380	181	295
381	181	294
382	182	293
383	182	292
384	182	291
385	182	291
386	183	290
387	183	289
388	183	288
389	184	287
390	184	287
391	184	286
392	185	286
393	185	285
394	185	284
395	186	283
396	186	283
397	186	282
398	186	281
399	187	281
400	187	280
401	188	279
402	188	279
403	188	278
404	188	277
405	189	276
406	189	276
407	189	275
408	190	275
409	191	275
410	191	274
411	191	273
412	192	273
413	192	272
414	192	271
415	193	270
416	193	270
417	193	269
418	193	268
419	194	268
420	194	267
421	194	266
422	194	265
423	195	265
424	195	264
425	195	263
426	196	263
427	196	262
428	196	261
429	196	260
430	197	260
431	197	259
432	197	259
433	198	258
434	198	257
435	198	256
436	198	256
437	199	255
438	199	254
439	199	254
440	200	253
441	200	253
442	200	252
443	201	251
444	201	251
445	201	250
446	201	249
447	202	249
448	202	248
449	202	248
450	203	247
451	203	246
452	203	246
453	204	245
454	204	244
455	204	244
456	204	243
457	205	243
458	205	242
459	205	241
460	206	241
461	206	240
462	206	240
463	207	239
464	207	238
465	207	238
466	208	237
467	208	236
468	208	236
469	208	235
470	209	234
471	209	234
472	209	233
473	209	232
474	210	232
475	210	231
476	210	230
477	210	230
478	211	229
479	211	229
480	211	228
481	212	227
482	212	227
483	212	226
484	212	226
485	213	225
486	213	224
487	213	224
488	213	223
489	214	222
490	214	222
491	214	221
492	215	221
493	215	220
494	215	220
495	216	219
496	216	219
497	216	218
498	217	218
499	217	217
500	217	216
501	218	216
502	218	215
503	218	215
504	218	214
505	219	213
506	219	213
507	219	212
508	220	212
509	220	211
510	220	211
511	221	210
512	221	210
513	221	209
514	222	209
515	222	208
516	222	208
517	223	207
518	223	207
519	223	206
520	223	205
521	224	205
522	224	204
523	224	204
524	225	203
525	225	203
526	225	202
527	225	201
528	226	201
529	226	200
530	226	200
531	227	199
532	227	199
533	227	198
534	227	198
535	228	197
536	228	196
537	228	196
538	228	195
539	229	195
540	229	194
541	229	194
542	229	193
543	230	192
544	230	192
545	230	191
546	231	191
547	231	190
548	231	190
549	232	190
550	232	189
551	232	189
552	233	188
553	233	187
554	233	187
555	234	186
556	234	186
557	234	185
558	234	185
559	235	184
560	235	184
561	236	184
562	236	183
563	236	183
564	237	182
565	237	182
566	237	181
567	238	181
568	238	180
569	239	180
570	239	179
571	239	179
572	240	178
573	240	178
574	240	177
575	240	177
576	241	176
577	241	176
578	241	175
579	242	175
580	242	174
581	242	174
582	242	173
583	243	173
584	243	172
585	243	172
586	243	171
587	244	171
588	244	170
589	244	170
590	245	169
591	245	169
592	245	168
593	246	168
594	246	167
595	246	167
596	247	166
597	247	166
598	247	165
599	247	165
600	248	164
601	248	164
602	248	163
603	249	163
604	249	163
605	250	162
606	250	162
607	250	161
608	251	161
609	251	160
610	251	160
611	252	159
612	252	159
613	252	159
614	253	158
615	253	158
616	253	157
617	254	157
618	254	156
619	254	156
620	255	155
621	255	155
622	255	154
623	256	154
624	256	153
625	256	153
626	256	152
627	257	152
628	257	151
629	257	151
630	257	150
631	258	150
632	258	149
633	258	149
634	258	148
635	259	148
636	259	147
637	259	147
638	259	146
639	260	146
640	260	146
641	261	145
642	261	145
643	261	144
644	261	144
645	262	143
646	262	143
647	262	142
648	263	142
649	263	141
650	263	141
651	263	140
652	264	140
653	264	139
654	264	139
655	264	138
656	265	138
657	265	137
658	265	137
659	266	137
660	266	136
661	266	136
662	266	135
663	267	135
664	267	134
665	267	134
666	268	133
667	268	133
668	268	132
669	269	132
670	269	132
671	269	131
672	270	131
673	270	130
674	270	130
675	270	129
676	271	129
677	271	128
678	271	128
679	272	128
680	272	127
681	272	127
682	272	126
683	273	126
684	273	125
685	273	125
686	273	124
687	274	124
688	274	123
689	274	123
690	275	122
691	275	122
692	275	122
693	275	121
694	276	121
695	276	120
696	276	120
697	277	119
698	277	119
699	277	118
700	277	118
701	278	118
702	278	117
703	278	117
704	279	116
705	279	116
706	279	115
707	279	115
708	280	114
709	280	114
710	280	114
711	280	113
712	281	113
713	281	112
714	281	112
715	282	111
716	282	111
717	282	111
718	283	110
719	283	110
720	283	109
721	283	109
722	284	108
723	284	108
724	284	108
725	285	107
726	285	107
727	285	106
728	285	106
729	286	105
730	286	105
731	286	104
732	286	104
733	287	104
734	287	103
735	287	103
736	287	102
737	288	102
738	288	101
739	288	101
740	289	101
741	289	100
742	289	100
743	290	99
744	290	99
745	290	98
746	290	98
747	291	98
748	291	97
749	291	97
750	292	96
751	292	96
752	292	95
753	292	95
754	293	95
755	293	94
756	293	94
757	293	93
758	294	93
759	294	93
760	294	92
761	295	92
762	295	91
763	295	91
764	295	90
765	296	90
766	296	90
767	296	89
768	297	89
769	297	88
770	297	88
771	297	87
772	298	87
773	298	87
774	298	86
775	298	86
776	299	85
777	299	85
778	299	84
779	299	84
780	300	84
781	300	83
782	300	83
783	300	82
784	301	82
785	301	82
786	301	81
787	302	81
788	302	80
789	302	80
790	302	80
791	303	79
792	303	79
793	303	78
794	303	78
795	304	77
796	304	77
797	304	77
798	305	76
799	305	76
800	305	75
801	306	75
802	306	75
803	306	74
804	306	74
805	307	73
806	307	73
807	307	73
808	307	72
809	308	72
810	308	71
811	308	71
812	308	71
813	309	70
814	309	70
815	309	69
816	309	69
817	310	69
818	310	68
819	310	68
820	311	67
821	311	67
822	311	67
823	311	66
824	312	66
825	312	65
826	312	65
827	312	65
828	313	64
829	313	64
830	313	63
831	314	63
832	314	63
833	314	62
834	314	62
835	315	61
836	315	61
837	315	61
838	315	60
839	316	60
840	316	59
841	316	59
842	317	59
843	317	58
844	317	58
845	318	57
846	318	57
847	318	57
848	318	56
849	319	56
850	319	55
851	319	55
852	319	55
853	320	54
854	320	54
855	320	53
856	321	53
857	321	53
858	321	52
859	322	52
860	322	52
861	322	51
862	322	51
863	323	50
864	323	50
865	323	50
866	324	49
867	324	49
868	324	48
869	324	48
870	325	48
871	325	47
872	325	47
873	326	46
874	326	46
875	326	46
876	326	45
877	327	45
878	327	45
879	327	44
880	327	44
881	328	43
882	328	43
883	328	43
884	328	42
885	329	42
886	329	41
887	329	41
888	329	41
889	330	40
890	330	40
891	330	40
892	331	39
893	331	39
894	331	38
895	331	38
896	332	38
897	332	37
898	332	37
899	332	36
900	333	36
901	333	36
902	333	35
903	334	35
904	334	35
905	334	34
906	334	34
907	335	33
908	335	33
909	335	33
910	335	32
911	336	32
912	336	32
913	336	31
914	337	31
915	337	30
916	337	30
917	337	30
918	338	29
919	338	29
920	338	29
921	339	28
922	339	28
923	339	27
924	339	27
925	340	27
926	340	26
927	340	26
928	340	26
929	341	25
930	341	25
931	341	24
932	342	24
933	342	24
934	342	23
935	342	23
936	343	23
937	343	22
938	343	22
939	343	21
940	344	21
941	344	21
942	344	20
943	344	20
944	345	20
945	345	19
946	345	19
947	346	18
948	346	18
949	346	18
950	346	17
951	347	17
952	347	17
953	347	16
954	347	16
955	348	16
956	348	15
957	348	15
958	349	14
959	349	14
960	349	14
961	349	13
962	350	13
963	350	13
964	350	12
965	350	12
966	351	11
967	351	11
968	351	11
969	352	10
970	352	10
971	352	10
972	352	9
973	353	9
974	353	9
975	353	8
976	354	8
977	354	7
978	354	7
979	355	7
980	355	6
981	355	6
982	356	6
983	356	5
984	356	5
985	356	5
986	357	4
987	357	4
988	357	3
989	357	3
990	358	3
991	358	2
992	358	2
993	359	2
994	359	1
995	359	1
996	359	1
997	360	0
998	360	0
999	360	0
